,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
0,,Яндекс,"Каждый день миллионы пользователей находят ответы на свои вопросы с помощью Яндекса. Сервису Яндекс.Карты нужны внимательные, тактичные и любознательные операторы с чувством юмора — обновлять данные в базах, следить за их верностью и актуальностью.   Что вы будете делать: совершать звонки по сценарию задания;обновлять сведения в базе данных. Для работы потребуются: грамотный устный и письменный русский язык;умение работать с большими массивами информации;навыки уверенной работы на компьютере;тихое место на время работы;ноутбук или стационарный компьютер с ОС не ниже Windows 7;гарнитура;подключённый кабельный высокоскоростной интернет. Мы ждем, что вы: хотите и умеете помогать другим людям;вежливы, но не занудны;внимательны к деталям и всегда доводите дело до конца;не устаёте от однообразных задач;можете работать дома, не отлынивая и не отвлекаясь на очередной эпизод сериала;любите узнавать новое;готовы к насыщенному рабочему дню. Что мы предлагаем: работу из дома или любой точки, где есть стабильный интернет;бесплатную ip-телефонию;частичную занятость, гибкий график 4 часа в день 5 дней в неделю (будни) в дневное время с 8 до 20 по Москве;официальное оформление на работу по совместительству с первого дня обучения;сдельную оплату;удалённое оплачиваемое обучение.    ",,Частичная занятость,Нет опыта,,,Оператор саll-центра,2020-12-08T13:22:04+0300,,Удаленная работа,,
1,Ханты-Мансийск,Ростелеком,,,Полная занятость,От 1 года до 3 лет,,,Проведение презентаций,2020-12-15T08:47:55+0300,,Полный день,Активные продажи|B2B Продажи|Ведение переговоров|Заключение договоров|Поиск и привлечение клиентов|Проведение презентаций|,
2,,Сервисный центр Транстелематика,(Подработка)   ,"Обязанности: Сервисное обслуживание, ремонт, монтаж: систем видеонаблюдения на пассажирском транспорте, систем мониторинга и контроля пассажирского транспорта, систем информирования пассажировТестирование и настройка оборудованияПроведение пусконаладочных работ (ПНР) устанавливаемого оборудованияРабота по заявкамВыезды на объект   ",Проектная работа,От 1 года до 3 лет,,15000,Администрирование сетевого оборудования,2020-12-31T10:30:19+0300,Требования: Опыт работы с электрикой и со слаботочными системамиСобранность   ,Сменный график,Электрические системы и слаботочные системы|Монтаж оборудования|Монтаж инженерных систем|Ремонт ПК|Техническое обслуживание|ОПС|СКУД|Системы видеонаблюдения|Системы охранно-тревожной сигнализации|Производство строительно-монтажных работ|Администрирование сетевого оборудования|,Условия: Оформление по ГПХРабота по заявкамВозможность совмещения с основным местом работы
3,Ханты-Мансийск,АУ Югорский НИИ информационных технологий,,,Полная занятость,От 3 до 6 лет,,100000,Управление командой,2020-12-18T14:50:11+0300,,Полный день,Python|Django Framework|Java|PostgreSQL|Linux|MySQL|Разработка ПО|SQL|СУБД|Управление командой|,
4,,Газпром нефть,,Обязанности: Обслуживание и сопровождение программного обеспечения систем АСУТПУстранение отказов в работе оборудования АСУТПВыполнение технического обслуживания систем АСУ ТПМониторинг состояния АСУТПОформление технической документацииКонсультация пользователей ,Полная занятость,От 1 года до 3 лет,,,Ориентация на результат,2020-12-22T11:54:56+0300,Требования: Профильное высшее образованиеОпыт работы по специальности от 1-го года ,Вахтовый метод,Пользователь ПК|Документальное сопровождение|Ориентация на результат|,"Условия: Работа в стабильной, динамично развивающейся компании ·Перспектива профессионального ростаРасширенный социальный пакет (ДМС, страхование жизни)Бонус по результатам деятельностиУровень оплаты труда обсуждается по итогам собеседованияПостоянная позиция в штате компанииВахтовый метод работы"
5,,Яндекс,"Яндекс — крупнейшая поисковая система и IT-компания, разрабатывающая сервисы и инструменты для пользы людей. «Помогать людям решать задачи и достигать своих целей в жизни» — именно так звучит миссия компании. Сегодня насчитывается более 80 сервисов Яндекса, и многие из них можно использовать для продвижения бизнеса.<br />Мы ищем боевого менеджера по продажам. Ваша главная задача — предлагать готовые решения (контекстную рекламу) B2B-клиенту, чтобы он мог вывести бизнес на новый уровень.<br />Мы готовы предоставить вам свободный выбор места и времени работы. Если вы разделяете наши взгляды, то мы будем рады вам в нашей команде!   ",,Частичная занятость,От 1 года до 3 лет,,20000,Менеджер по продажам B2B,2020-12-26T09:13:47+0300,,Удаленная работа,,Условия:<br />• официальное оформление по ТК РФ;<br />• сдельно-премиальная оплата труда;<br />• работа в максимально комфортных условиях — в любом городе и прямо из дома;<br />• гибкий рабочий график: по будням четыре часа подряд в промежутке с 09:00 до 18:00 по московскому времени.  
6,Ханты-Мансийск,Газпром нефть,<em>,"Обязанности: осуществлять техническую поддержку (2-я линия) стандартного набора инфраструктурных сервисов (корпоративная почта, антивирусное ПО и ПО резервного копирования данных, файл-сервер, домен ActiveDirectory, серверы баз данных и др.),поддерживать АРМ на базе MS Windows (подготовка, установка, настройка), работать с тонкими клиентами (Citrix),консультировать пользователей по работе прикладного и системного ПО,следить, чтобы наши принтеры, сканеры и другая техника исправно работали,сопровождать мероприятия с использованием видео-конференц-связи,обеспечивать бесперебойное функционирование периферийных устройств, при необходимости организовывать ремонтные работы. ",Полная занятость,От 1 года до 3 лет,,,Техническая поддержка,2020-12-14T10:08:22+0300,"Требования: вы отлично разбираетесь в Windows 7/8/10,у вас есть опыт работы с Microsoft Office 2010/2013/2016,вы уверенный пользователь ActiveDirectory (работа с АРМ и пользователями). ",Полный день,Citrix|Windows 7|Windows Xp|Обеспечение антивирусной защиты|Техническая поддержка|,"Условия: работа в стабильной, динамично развивающейся компанииперспектива профессионального роста, возможность обученияДМС, страхование жизнигодовой бонус по результатам деятельности"
7,Ханты-Мансийск,АУ Югорский НИИ информационных технологий,,,Полная занятость,От 1 года до 3 лет,,30000,Пользователь ПК,2020-12-18T14:50:36+0300,,Полный день,Договорная работа|Деловая переписка|Деловое общение|Заключение договоров|Деловая этика|Навыки переговоров|Ведение переписки|Корпоративная этика|Работа в команде|Умение планировать|Умение расставлять приоритеты|Пользователь ПК|,
8,Ханты-Мансийск,АУ Югорский НИИ информационных технологий,"Cпециалисты института реализуют сложные, масштабные государственные проекты по нескольким направлениям: Государственные информационные системы, информационные системы для нефтедобывающей отрасли, информационно-космические и геоинформационные технологии, информационная безопасность, создание информационно-телекоммуникационных систем и образовательная деятельность. Занимаются прикладными научными исследованиями в области информационных технологий. Мы ищем профессионалов, способных мыслить глобально и создавать тренды. Мы приглашаем на работу человека способного погрузится в новые задачи и усилить нашу команду. ",,Полная занятость,От 3 до 6 лет,,100000,Vuex,2020-12-18T14:49:48+0300,,Полный день,HTML|CSS|1С-Битрикс|Планирование|руководство командой разработчиков|HTML5|frontent|VueJS|Vuex|,
9,Ханты-Мансийск,АУ Югорский НИИ информационных технологий,,"Обязанности: Выполнение работу по проектированию, внедрению и сопровождению программно-технических средств защиты информации в информационных системахПроведение анализа и изучение возможных источников и каналов утечки информации Проведение самостоятельной настройки программного обеспечения по защите информации и персональных данных в информационных системах  ",Полная занятость,Нет опыта,,50027,Windows 7,2020-12-18T14:50:32+0300,"Требования: Высшее образование (Информационные системы и технологии)Навыки работы с офисным пакетом программ, системой электронного документооборота ",Полный день,Электронный документооборот|Обучение и развитие|Информационные технологии|Windows 7|,
10,,Золото Селигдара,,"Обязанности: Принимать и своевременно исполнять заявки пользователей в рамках деятельности группы сетевого администрирования.Отслеживать, исполнять и закрывать назначенные ведущему специалисту заявки в системе ServiceDeskPlus.Участие в контроле за работой сервисных подрядных организаций в области ИТ.Принимать, проверять, оформлять и заводит в систему 1С ГДП первичные отчетные документы от субподрядчиков по своему направлению деятельности.Участие в формировании БП на следующий календарный период по своему направлению деятельности.Вести реестр информационных ресурсов (далее ИС) компании и владельцев информационных ресурсов.Обеспечивать бесперебойную работу информационных киосков и медицинских шлюзов. ",Полная занятость,От 1 года до 3 лет,,,Серверное оборудование,2020-12-24T11:25:32+0300,Требования: Высшее профессиональное (техническое).Наличие сертификатов конфигурирования и администрирования оборудования производителей(будет преимуществом).Умение настраивать сетевое и серверное оборудование win nix. ,Полный день,Информационные технологии|1С: Документооборот|Английский язык|Чтение технической литературы|Серверное оборудование|,Условия: АО «Золото Селигдара» предприятие с круглогодичным режимом работы.Адрес:
11,,Сеть магазинов цифровой и бытовой техники DNS,,"Обязанности: - Прием на сервисное обслуживание электронной и вычислительной техники, GSM, GPRS оборудования и средств связи, оргтехники, цифровой фото и видео аппаратуры и т.д.,<br />- Заполнение сопроводительных документов, внесение данных в базу 1С,<br />- Общение с покупателями по вопросам сервисного обслуживания,<br />- Контроль сроков проведения работ,<br />- Участие в инвентаризации, ",Полная занятость,От 1 года до 3 лет,39600,36000,1С: Предприятие 8,2020-12-23T14:40:23+0300,"Требования: ​​​​​​​​​​​​​​- Желателен опыт работы в АСЦ или СЦ от 1 года,<br />- Хорошее знание компьютерного «железа», цифровой техники,<br />- Знание правовых основ сервисного обслуживания (закон «О защите прав потребителя»),<br />- Навыки преодоления конфликтных ситуаций,<br />- Опыт диагностики и ремонта,<br />- Личностные качества: высокая работоспособность, стрессоустойчивость, внимательность, исполнительность, ответственность, активная жизненная позиция, умение работать в команде. ",Полный день,Ремонт ПК|Техническое обслуживание|Работа в команде|Пользователь ПК|1С: Предприятие 8|,"Условия: ​​​​​​​​​​​​​​- Работа в крупной, динамично развивающейся компании,<br />- Официальное трудоустройство, социальный пакет, система премий и поощрений,<br />- Профессиональный и карьерный рост, дружный коллектив,<br />- График работы: 5/2, полный рабочий день, скользящие выходные.<br />- з/п от 36000р"
12,,Группа страховых компаний «Югория»,,"Обязанности: Разработка информационных системы на платформе 1С:Предприятие (как с нуля, так и на базе 1С: Бухгалтерия КОРП)Работа совместно с разработчиками, аналитиками и тестировщиками над сложными и интересными задачамиСамостоятельность в реализации проекта, нацеленность на завершение проекта от начала и до концаРазработка и реализация решения возникающих проблемУчастие в оптимизации работы высоконагруженных системУчастие в непрерывном совершенствовании процесса разработки (по Agile- методологии). ",Полная занятость,От 3 до 6 лет,,,Обучение и развитие,2020-12-08T14:12:58+0300,Требования: Высшее образованиеОпыт разработки на языке 1С 8.х – от 3 лет,Гибкий график,Agile Project Management|SQL|1С: Предприятие 8|Бухгалтерский учет|Обучение и развитие|,"Условия: Оформление согласно ТК РФ, социальные гарантииКонкурентоспособная заработная плата. Мы рассматриваем кандидатов различного уровня, уровень дохода обсуждается по результатам собеседованияУчастие в масштабных и интересных IT- проектах, отличные возможности для профессионального ростаКорпоративное обучение (вебинары, тренинги, конференции и др.)Скидки для сотрудника и членов семьи на все продукты КомпанииРаботу в молодой креативной команде профессионалов, доброжелательной атмосфере;Готовы рассмотреть вариант удалённого сотрудника на полную занятость."
13,,Югорские Интернет Технологии,,,Полная занятость,От 1 года до 3 лет,,60000,ООП,2021-01-08T17:54:19+0300,,Удаленная работа,Git|MySQL|PHP5|Symfony|ООП|,"О команде<br /><br />Мы – слаженная региональная команда веб-разработчиков, которая постепенно начинает переходить из клиентской разработки в продуктовую. Нас больше 20 человек, мы крепко стоим на ногах в плане финансов, поэтому готовы начинать стартап-эксперименты.<br /><br />Для усиления нам нужны уверенные и опытные программисты на PHP, не ниже middle. Вы будете работать в команде под руководством технического директора (спикер РИТ и PHPFest, евангелист подхода DDD в России) преимущественно над одним проектом (информационная система в сфере общепита, действующий стартап). Но иногда возможно привлечение и на другие проекты, если потребуется помощь.<br /><br />Рассматриваем фуллтайм участие (40 часов в неделю), географически – не имеет значения. График можно сделать гибким, но работа должна быть ежедневной и вашей единственной – совмещение мы не рассматриваем (если всё же очень хотите парт-тайм – можем рассмотреть на отдельных условиях).<br /><br />Оплата на руки от 60к и выше, в зависимости от вашего текущего уровня, рост оплаты вместе с вашим ростом, премии и отпуск.   "
14,,Связной,,"Обязанности:  Сервисное обслуживание и ремонт контрольно-кассовой техники и торгового оборудования (кассовое оборудование, POS терминалы, принтеры ШК, весы);  Диагностика неисправностей, выполнение ремонтно-восстановительных работ;  Оформление документов после ремонта и технического обслуживания;  Консультирование клиентов по вопросам эксплуатации торгово-банковского оборудования.  ",Полная занятость,От 1 года до 3 лет,35000,35000,Инженер по ремонту/Системный администратор,2021-01-03T13:35:44+0300,"Требования: ИТ / техническое образование;Опыт работы в технической поддержке (от полу года);Опыт ремонта ПК, оргтехники;Готовность к разъездному характеру работы;Приветствуется:активность,доброжелательность, внимательность, обязательность, нацеленность на результат; ",Гибкий график,,"Условия: Официальное трудоустройство по ТК РФ;Полный соцпакет согласно ТК (оплата больничных, отпусков);График: 5/2;Зарплата: оклад+премия, зависит от выработки;Корпоративные скидки на товары компании;Компенсация мобильной связи;Компенсация ГСМ;Работа в крупной федеральной компании."
15,Ханты-Мансийск,Группа страховых компаний «Югория»,,"Обязанности:  Разработка высоконагруженных корпоративных web-приложений;Участие в проектировании и разработке платформы;Клиентская разработка (UX/UI);Непрерывное обучение, совершенствование своих знаний и навыков. ",Полная занятость,От 1 года до 3 лет,,,Frontend-разработчик,2020-12-17T09:52:30+0300,"Требования:  Высшее образование;Уверенное знание языка JavaScript, TypeScript;Опыт разработки на NodeJS (NestJS, express);Знание HTML5, CSS3 и SCSS;Уверенное знание одного из современных фреймворков (Angular/AngularJS/React/Vue). ",Удаленная работа,,"Условия: Оформление согласно ТК РФ, соц. пакет;Конкурентоспособная заработная плата;Корпоративное обучение (вебинары, тренинги, конференции и пр.);Скидки для сотрудника и членов семьи на все продукты Компании;Работу в молодой увлеченной команде профессионалов, доброжелательной атмосфере;Участие в масштабных IT-проектах, отличные возможности для профессионального развитияГотовы рассмотреть вариант удаленного сотрудника.  "
16,,Яндекс,"Каждый день миллионы пользователей находят ответы на свои вопросы с помощью Яндекса. Сервису Яндекс.Путешествия нужны внимательные, тактичные и любознательные операторы с чувством юмора — обновлять данные в базах, следить за их верностью и актуальностью.   Что вы будете делать: совершать звонки по сценарию задания;обновлять сведения в базе данных. Для работы потребуются: грамотный устный и письменный русский язык;умение работать с большими массивами информации;навыки уверенной работы на компьютере;тихое место на время работы;ноутбук или стационарный компьютер с ОС не ниже Windows 7;гарнитура;подключённый кабельный высокоскоростной интернет. Мы ждем, что вы: хотите и умеете помогать другим людям;вежливы, но не занудны;внимательны к деталям и всегда доводите дело до конца;не устаёте от однообразных задач;можете работать дома, не отлынивая и не отвлекаясь на очередной эпизод сериала;любите узнавать новое;готовы к насыщенному рабочему дню. Что мы предлагаем: работу из дома или любой точки , где есть стабильный интернет;бесплатную ip-телефонию;частичную занятость, гибкий график 4 часа в день 5 дней в неделю (будни) в дневное время с 8 до 20 по Москве;официальное оформление на работу по совместительству с первого дня обучения;сдельную оплату;удалённое оплачиваемое обучение.    ",,Частичная занятость,Нет опыта,,,Оператор колл-центра (исходящие звонки),2020-12-08T13:53:53+0300,,Удаленная работа,,
17,Ханты-Мансийск,АУ Югорский НИИ информационных технологий,,,Полная занятость,От 3 до 6 лет,60000,30000,JavaScript,2020-12-08T10:04:29+0300,,Удаленная работа,HTML|Git|CSS|Java|JavaScript|,
18,Ханты-Мансийск,Защита Югры,,"Обязанности: Программирует 1С;Конфигурирует систему на сервере;Обеспечивает интегрирование программного обеспечения на файл-серверах, серверах систем управления базами данных и на рабочих станциях;Поддержка IP телефонии,Поддерживает рабочее состояние программного обеспечения сервера и рабочих станций;Организует доступ к локальной и глобальной сетям;Участвует в восстановлении работоспособности системы при сбоях и выходе из строя сетевого оборудования;Проводит мониторинг сети, разрабатывает предложения по развитию инфраструктуры сети.Работа с настройкой и ремонтом ПК, ноутбуков, серверов ",Полная занятость,От 1 года до 3 лет,45000,40000,Настройка сетевых подключений,2020-12-17T07:41:07+0300,Требования: Высшее профессиональное образование по специальности «Информатика и вычислительная техника» «Автоматизированные системы обработки информации и управления» и,Полный день,Администрирование сетевого оборудования|Ремонт ПК|Настройка сетевых подключений|,Условия: Уровень заработной платы обсуждается на собеседовании.Трудоустройство согласно требований ТК РФ.Компенсации и льготы согласно ТК РФ.Оплата проезда в отпуск 1 раз в 2 года.Своевременная выплата заработной платы 2 раза в месяц на банковскую карту.
19,,Группа страховых компаний «Югория»,,"Обязанности:  Разработка высоконагруженных корпоративных web-приложений;Участие в проектировании и разработке платформы;Клиентская разработка (UX/UI);Непрерывное обучение, совершенствование своих знаний и навыков. ",Полная занятость,От 1 года до 3 лет,,,Frontend-разработчик,2020-12-08T14:15:15+0300,"Требования:  Высшее образование;Уверенное знание языка JavaScript, TypeScript;Опыт разработки на NodeJS (NestJS, express);Знание HTML5, CSS3 и SCSS;Уверенное знание одного из современных фреймворков (Angular/AngularJS/React/Vue). ",Удаленная работа,,"Условия: Удаленная работаОформление согласно ТК РФ, соц. пакет;Конкурентоспособная заработная плата;Корпоративное обучение (вебинары, тренинги, конференции и пр.);Скидки для сотрудника и членов семьи на все продукты КомпанииУчастие в масштабных IT-проектах, отличные возможности для профессионального развития."
20,,NETBYNET,,"Обязанности: Подключение клиентов к услугам компании.Проведение диагностики и замены оборудования абонентов.Ремонт кабельных линий связи, настройка клиентского оборудования в черте города.Работы по устранению аварий на сети.Выполнение работ на высоте и в электроустановках. ",Полная занятость,От 1 года до 3 лет,,,Прокладка кабелей,2020-12-15T12:39:30+0300,Требования: Высшее образование техническое (рассмотрим также выпускников).Умение работать с техническим оборудованием.Отсутствие противопоказаний к работам на высоте.  ,Полный день,Настройка сетевых подключений|Прокладка кабелей|,
21,,Яндекс,"Яндекс.Директ – отличный инструмент для привлечения новых клиентов.<br />Однако, не все владельцы малого бизнеса знают про наш сервис. Мы ищем боевого менеджера по продажам, главная задача которого - предложить рекламодателям готовое решение и помочь им вывести свой бизнес на новый этап. ",,Полная занятость,От 1 года до 3 лет,100000,50000,Клиентоориентированность,2020-12-29T17:58:37+0300,,Удаленная работа,Холодные продажи|CRM|Активные продажи|Холодные звонки|Клиентоориентированность|,Условия: официальное оформление по ТК РФ;полная занятость;испытательный срок длительностью 3 месяца;сдельно-премиальная оплата труда без ограничений сверху;работа в максимально комфортных условиях — прямо из дома;рабочий график: по будням в промежутке с 10:00 до 19:00 по московскому времени или с 09:00 до 18:00 (после испытательного срока);удаленное обучение за счет компании.  
22,,Билайн ШПД,"В Билайн мы развиваем и поддерживаем здоровую и безопасную рабочую среду. Каждый сотрудник соблюдает Кодекс поведения, внутренние правила компании и придерживается принципов деловой этики. Мы поступаем честно и этично как по отношению к друг другу, так и к нашим внешним партнерам.  ",,Частичная занятость,Нет опыта,50000,15000,Обучение и развитие,2021-01-04T17:42:51+0300,,Удаленная работа,Холодные продажи|работа с VIP клиентами|Телефонные переговоры|Грамотная речь|Обучение и развитие|,
23,,Яндекс,"Яндекс.Директ – отличный инструмент для привлечения новых клиентов.<br />Однако, не все владельцы малого бизнеса знают про наш сервис. Мы ищем боевого менеджера по продажам, главная задача которого - предложить рекламодателям готовое решение и помочь им вывести свой бизнес на новый этап. ",,Частичная занятость,От 1 года до 3 лет,,25000,Менеджер по продажам В2В для Яндекс.Директа,2020-12-29T09:12:13+0300,,Удаленная работа,,"Условия: официальное оформление по ТК РФ;сдельно-премиальная оплата труда;работа в максимально комфортных условиях — в любом городе и прямо из дома;гибкий рабочий график: по будням в промежутке с 09:00 до 18:00 по московскому времени от четырех часов подряд, возможна полная занятость."
24,,Яндекс,"Каждый день миллионы пользователей находят ответы на свои вопросы с помощью Яндекса. Роль службы поддержки — помогать пользователям решать проблемы, связанные с работой наших сервисов. Работа сотрудника службы поддержки заключается в основном в ответах на письма пользователей. От вас потребуются внимательность, тактичность, чувство юмора, понимание основных принципов работы интернета, любознательность и трудолюбие. Мы расскажем вам, как устроены наши сервисы, и научим разбираться в технических аспектах их работы. Со временем вы начнете самостоятельно анализировать поступающие письма и сможете активно участвовать в развитии сервиса, к поддержке которого подключитесь. ",,Частичная занятость,От 1 года до 3 лет,,26000,Грамотность,2021-01-06T14:38:14+0300,"Наши требования: отличное владение русским языком;способность самостоятельно решать круг поставленных задач;аккуратность, усидчивость, ответственность и обязательность;готовность к интенсивному обучению;аналитический склад ума;активность и коммуникабельность;любовь к людям, способность к эмпатии;высшее или незаконченное высшее образование (если техническое — это плюс);желательно знание английского, уровень Upper Intermediate и выше.   ",Удаленная работа,Английский язык|MS PowerPoint|Грамотная речь|Обучение и развитие|Грамотность|,"Условия: оплата почасовая или сдельная, в зависимости от выполняемых задач;график: по договоренности, рабочие дни могут выпадать на субботу и воскресенье, не менее 20 рабочих часов в неделю;предусмотрено оплачиваемое дистанционное обучение."
25,Ханты-Мансийск,Муниципальное дорожно-эксплуатационное предприятие,,"Обязанности: Установка и обслуживание компьютерной и офисной техники, оргтехники;Обеспечение безошибочной работы системного программного обеспечения (OC Windows, Windows Server);Обеспечение работоспособности и безопасности сети организации;Обеспечение резервного копирования данных (а также восстановление данных при необходимости);Администрирования серверов 1С. ",Полная занятость,От 1 года до 3 лет,,35000,Работа с оргтехникой,2020-12-16T09:22:01+0300,"Требования: Высшее образование;Знание OC Windows, Windows Server, 1С;Опыт работы с сетевым оборудованием;Опыт работы с серверным оборудованием. ",Полный день,Администрирование серверов Windows|Windows 7|Администрирование сетевого оборудования|Администрирование серверов|Windows Xp|Офисная техника|Windows Os|Настройка ПК|Работа с оргтехникой|,Условия: Трудоустройство согласно Трудовому кодексу Российской Федерации;Социальный пакет.
26,Ханты-Мансийск,Группа страховых компаний «Югория»,,"Обязанности: Решение и обработка обращений в рамках своей зоны ответственности в установленные сроки (по телефону, в онлайн-чатах, по электронной почте, в системе HelpDesk); Консультирование сотрудников по техническим вопросам;  Поиск проблем на основе анализа обращений; Работа в информационных системах компании; Взаимодействие с другими подразделениями IT в компании.  ",Полная занятость,Нет опыта,,30000,Специалист отдела технической поддержки,2020-12-08T14:16:30+0300,Требования: Свободное владение компьютером и различными гаджетами;Умение оперативно выполнять разноплановые задачи;Умение усваивать и систематизировать большие объемы информации;Готовность к большому объему работы (режим многозадачности);Грамотная устная и письменная речь;Желание развиваться в ИТ. ,Сменный график,,"Условия: Оформление по ТК РФ;Конкурентоспособная заработная плата;Возможность развиваться в интересующем направлении ИТ;Отличный коллектив: доброжелательная атмосфера, высокая значимость IT-подразделения в жизни Компании;Активная работа и интересные проекты."
27,,Яндекс,"Каждый день миллионы пользователей находят ответы на свои вопросы с помощью Яндекса. Но иногда что-то идёт не так, и на помощь приходит служба поддержки. Мы ищем внимательных, тактичных и любознательных специалистов в нашу команду поддержки мобильных геосервисов, Карт и Справочника. ",,Частичная занятость,Нет опыта,,26000,Специалист в службу поддержки геосервисов,2021-01-06T14:38:12+0300,,Удаленная работа,,
28,,Газпром нефть,,"Обязанности:  Разработка программного обеспечения для систем АСУТП (ПЛК, SCADA)  формализация и алгоритмизация поставленных задач  написание, проверка и отладка программного кода с использованием языков программирования, определения и манипулирования данными  разработка процедур интеграции программных модулей  Разработка архитектуры разрабатываемого ПО, участие в технических переговорах с Заказчиком  Пусконаладка и сдача создаваемых систем АСУТП (ПЛК, SCADA)  Разработка технической документации по реализуемым проектам  ",Полная занятость,От 3 до 6 лет,,,Step7,2020-12-28T17:26:48+0300,"Требования:  Высшее техническое образование  Опыт работы не менее 3х лет Опыт пусконаладочных работ на объектах ТЭКУровень разработчика ПО для систем АСУТП<br />Желательно:Опыт программирования (разработки) АСУТП на базе контроллеров Allen Bradley, Siemens, Honeywell, YOKOGAWA, ОВЕНЗнание протоколов Modbus RTU, Modbus TCPЗнание языка запросов SQL и умение работать с СУБД. Знание SCADA системПреимуществом будет знание программных продуктов: Wonderware System Platform, Wonderware Intouch, WinCC, TIA-portal, Step7, языков программирования: T-SQL, C, C#​ ",Полный день,SCAD|SQL|MS SQL|C#|C|Transact-SQL|Wonderware System Platform|Wonderware Intouch|WinCC|TIA-portal|Step7|,"Условия: профессиональное обучениеДМС (со стоматологией), страхование жизнигодовой бонуссокращенный рабочий день в пятницукорпоративный спорт (футбол, хоккей и т.п.)"
29,,2050.Digital,"Компания Clover Group реализует масштабные проекты по внедрению собственной интеллектуальной Платформы для предиктивного обслуживания промышленного оборудования на предприятиях железнодорожной, нефтегазовой, энергетической, металлургической отраслей с использованием современных методов анализа данных Big Data и Machine Learning ","Обязанности кандидата: Управлять инфраструктурой проекта. Заниматься настройкой и конфигурацией сети и серверов;Писать helm-чарты разворачиваемых приложений;Поддерживать и развивать системы CI/CD;Выполнять резервное копирование / бекап, балансировку нагрузки;Разворачивать и настраивать наши приложения на серверах заказчика;Рассчитывать нагрузки и ресурсы для каждого проекта;Создавать и поддерживать высоконагруженные системы. ",Полная занятость,От 3 до 6 лет,,,ansible,2020-12-04T14:28:56+0300,Требования к кандидату: Опыт работы с Red Hat Enterprise ,Удаленная работа,Linux|Bash|PostgreSQL|Kubernetes|helm|ansible|,
30,Ханты-Мансийск,АУ Югорский НИИ информационных технологий,,"Обязанности: Участие в оценке трудоёмкости проекта.Анализ требований Заказчика и дальнейшее проектирование процессов и системы.Написание user storyПодготовка карты клиентских путей (CJM)Подготовка функциональных требований (технических заданий, частных технических заданий).Подготовка официальных писемНаписание проектной документацииПодготовка инструкций пользователейОбучение пользователей ",Полная занятость,От 1 года до 3 лет,,60000,BPMN,2020-12-08T10:05:15+0300,"Требования: Высшее образование;Специализация по образованию-Бизнес-информатика, экономика, управление, ИВТ;Прохождение специализированных курсов по архитектуре приложений будет плюсом;Опыт работы от 1 года; Знание жизненного цикла разработки ПО;  Знание жизненного цикла методологии разработки;  Опыт тестирования web-проектов;  Знание нотаций BPMN 2.0, UML, EPC, IDEF;  ",Полный день,Python|UML|SQL|IDEF|BPMN|,"Условия: Полный рабочий день, 5/2; Отпуск — 44 к/дня в году; Компенсация проезда к месту проведения отдыха и обратно 1 раз в 2 года."
31,,Яндекс,"Каждый день миллионы пользователей находят ответы на свои вопросы с помощью Яндекса. Сервису Яндекс.Услуги нужны внимательные, тактичные и любознательные операторы с чувством юмора — обновлять данные в базах, следить за их верностью и актуальностью.   Что вы будете делать: совершать звонки по сценарию задания;обновлять сведения в базе данных. Для работы потребуются: грамотный устный и письменный русский язык;умение работать с большими массивами информации;навыки уверенной работы на компьютере;тихое место на время работы;ноутбук или стационарный компьютер с ОС не ниже Windows 7;гарнитура;подключённый кабельный высокоскоростной интернет. Мы ждем, что вы: хотите и умеете помогать другим людям;вежливы, но не занудны;внимательны к деталям и всегда доводите дело до конца;не устаёте от однообразных задач;можете работать дома, не отлынивая и не отвлекаясь на очередной эпизод сериала;любите узнавать новое;готовы к насыщенному рабочему дню. Что мы предлагаем: работу из дома или любой точки, где есть стабильный интернет;бесплатную ip-телефонию;частичную занятость, гибкий график 4 часа в день 5 дней в неделю (будни) в дневное время с 8 до 20 по Москве;официальное оформление на работу по совместительству с первого дня обучения;сдельную оплату;удалённое оплачиваемое обучение.    ",,Частичная занятость,Нет опыта,,,Оператор саll-центра,2020-12-08T13:02:34+0300,,Удаленная работа,,
